Folder, Filename, Result, ExitCode, Time, Memory
t5, f118, Realizable, 0, 0.00, 0.01
t5, f119, Realizable, 0, 0.00, 0.01
t5, f120, Realizable, 0, 0.00, 0.02
t5, f121, Realizable, 0, 0.00, 0.01
t5, f122, Realizable, 0, 0.00, 0.01
t5, f123, Realizable, 0, 0.00, 0.02
t5, f124, Realizable, 0, 0.02, 0.02
t5, f125, Realizable, 0, 0.00, 0.01
t5, f126, Stopped, 124, 30.00, 0.36
t5, f127, Realizable, 0, 0.00, 0.01
t5, f128, Realizable, 0, 0.00, 0.01
t5, f129, Realizable, 0, 0.00, 0.01
t5, f130, Unrealizable, 0, 0.00, 0.02
t5, f131, Realizable, 0, 0.00, 0.01
t5, f132, Realizable, 0, 0.00, 0.01
t5, f133, Realizable, 0, 0.00, 0.01
t5, f134, Stopped, 124, 30.00, 0.97
t5, f135, Realizable, 0, 0.00, 0.01
t5, f136, Unrealizable, 0, 0.32, 0.15
t5, f137, Stopped, 124, 30.00, 0.31
t5, f138, Unrealizable, 0, 0.01, 0.01
t5, f139, Realizable, 0, 0.00, 0.02
t5, f140, Unrealizable, 0, 0.00, 0.01
t5, f141, Unrealizable, 0, 0.00, 0.02
t5, f142, Realizable, 0, 0.00, 0.01
t5, f143, Realizable, 0, 0.00, 0.01
t5, f144, Realizable, 0, 0.00, 0.01
t5, f145, Realizable, 0, 0.00, 0.01
t5, f146, Unrealizable, 0, 2.13, 0.08
t5, f147, Stopped, 124, 30.00, 0.23
t5, f148, Realizable, 0, 0.00, 0.01
t5, f149, Unrealizable, 0, 0.04, 0.11
t5, f150, Realizable, 0, 0.00, 0.02
t5, f151, Realizable, 0, 0.00, 0.01
t5, f152, Realizable, 0, 0.00, 0.01
t5, f153, Realizable, 0, 0.00, 0.01
t5, f154, Realizable, 0, 0.00, 0.01
t5, f155, Realizable, 0, 0.01, 0.01
t5, f156, Realizable, 0, 0.00, 0.01
t5, f157, Realizable, 0, 0.02, 0.01
t5, f158, Realizable, 0, 0.00, 0.01
t5, f159, Realizable, 0, 0.00, 0.01
t5, f160, Realizable, 0, 0.00, 0.01
t5, f161, Realizable, 0, 0.00, 0.01
t5, f162, Realizable, 0, 0.00, 0.01
t5, f163, Stopped, 124, 30.00, 0.38
t5, f164, Realizable, 0, 0.00, 0.01
t5, f165, Realizable, 0, 0.00, 0.01
t5, f166, Realizable, 0, 0.00, 0.01
t5, f167, Unrealizable, 0, 13.72, 0.27
t5, f168, Realizable, 0, 0.00, 0.01
t5, f169, Realizable, 0, 4.21, 0.21
t5, f170, Realizable, 0, 0.00, 0.02
t5, f171, Realizable, 0, 0.00, 0.01
t5, f172, Realizable, 0, 0.00, 0.01
t5, f173, Realizable, 0, 0.00, 0.01
t5, f174, Realizable, 0, 0.00, 0.02
t5, f175, Realizable, 0, 0.00, 0.02
t5, f176, Stopped, 124, 30.00, 0.95
t5, f177, Realizable, 0, 0.00, 0.01
t5, f178, Realizable, 0, 0.00, 0.01
t5, f179, Realizable, 0, 0.00, 0.02
t5, f180, Realizable, 0, 0.00, 0.01
t5, f181, Unrealizable, 0, 0.00, 0.01
t5, f182, Realizable, 0, 0.00, 0.01
t5, f183, Realizable, 0, 0.00, 0.01
t5, f184, Realizable, 0, 0.00, 0.01
t5, f185, Realizable, 0, 0.01, 0.02
t5, f186, Realizable, 0, 0.00, 0.02
t5, f187, Unrealizable, 0, 0.02, 0.03
t5, f188, Realizable, 0, 0.00, 0.02
t5, f189, Realizable, 0, 0.00, 0.02
t5, f190, Realizable, 0, 0.00, 0.01
t5, f191, Unrealizable, 0, 0.01, 0.02
t5, f192, Realizable, 0, 0.00, 0.01
t5, f193, Realizable, 0, 0.02, 0.01
t5, f194, Realizable, 0, 0.00, 0.01
t5, f195, Realizable, 0, 0.00, 0.01
t5, f196, Realizable, 0, 0.00, 0.01
t5, f197, Realizable, 0, 0.00, 0.01
t5, f198, Realizable, 0, 0.00, 0.01
t5, f199, Realizable, 0, 0.00, 0.01
t5, f200, Realizable, 0, 0.00, 0.01
t6, f1, Realizable, 0, 0.00, 0.01
t6, f2, Realizable, 0, 0.00, 0.01
t6, f3, Realizable, 0, 0.00, 0.01
t6, f4, Unrealizable, 0, 0.02, 0.02
t6, f5, Stopped, 124, 30.01, 3.40
t6, f6, Realizable, 0, 0.00, 0.01
t6, f7, Stopped, 124, 30.00, 0.22
t6, f8, Realizable, 0, 0.00, 0.01
t6, f9, Realizable, 0, 0.00, 0.01
t6, f10, Realizable, 0, 0.00, 0.01
t6, f11, Unrealizable, 0, 0.00, 0.02
t6, f12, Unrealizable, 0, 0.00, 0.02
t6, f13, Stopped, 124, 30.01, 3.78
t6, f14, Unrealizable, 0, 0.00, 0.01
t6, f15, Realizable, 0, 0.00, 0.01
t6, f16, Realizable, 0, 0.01, 0.01
t6, f17, Realizable, 0, 0.00, 0.01
t6, f18, Realizable, 0, 0.00, 0.02
t6, f19, Realizable, 0, 0.01, 0.01
t6, f20, Stopped, 124, 30.00, 3.40
t6, f21, Realizable, 0, 0.00, 0.01
t6, f22, Realizable, 0, 0.00, 0.01
t6, f23, Unrealizable, 0, 0.02, 0.04
t6, f24, Realizable, 0, 0.03, 0.02
t6, f25, Stopped, 124, 30.00, 1.28
t6, f26, Realizable, 0, 0.00, 0.02
t6, f27, Realizable, 0, 0.00, 0.01
t6, f28, Realizable, 0, 0.00, 0.01
t6, f29, Realizable, 0, 0.00, 0.01
t6, f30, Unrealizable, 0, 0.12, 0.22
t6, f31, Realizable, 0, 0.00, 0.02
t6, f32, Realizable, 0, 0.00, 0.01
t6, f33, Unrealizable, 0, 0.15, 0.25
t6, f34, Stopped, 124, 30.00, 1.95
t6, f35, Realizable, 0, 0.00, 0.01
t6, f36, Stopped, 124, 30.00, 1.12
t6, f37, Realizable, 0, 0.00, 0.01
t6, f38, Unrealizable, 0, 0.08, 0.18
