Folder, Filename, Result, ExitCode, minimizeTime, lydiaPreprocessTime, Time, Memory, lastSearchedDfaSz
syft_1, 160, Realizable, 0, 0.000, 0.027, 0.040, 0.257, 0
syft_1, 161, Unrealizable, 0, 0.000, 0.082, 3.360, 0.347, 261
syft_1, 162, Realizable, 0, 0.000, 0.030, 0.065, 0.264, 0
syft_1, 163, Realizable, 0, 0.000, 0.027, 0.038, 0.256, 0
syft_1, 164, Unrealizable, 0, 0.000, 0.077, 15.084, 0.543, 516
syft_1, 165, Unrealizable, 0, 0.000, 0.075, 0.108, 0.257, 37
syft_1, 166, Unrealizable, 0, 0.000, 0.077, 0.202, 0.261, 69
syft_1, 167, Unrealizable, 0, 0.000, 0.043, 0.066, 0.256, 35
syft_1, 168, Realizable, 0, 0.000, 0.029, 0.047, 0.259, 0
syft_1, 169, Realizable, 0, 0.000, 0.023, 0.033, 0.256, 0
syft_1, 170, Unrealizable, 0, 0.000, 0.073, 0.562, 0.272, 131
syft_1, 171, Unrealizable, 0, 0.000, 0.075, 0.108, 0.257, 37
syft_1, 172, Unrealizable, 0, 0.000, 0.075, 0.199, 0.261, 69
syft_1, 173, Unrealizable, 0, 0.000, 0.074, 2.805, 0.321, 259
syft_1, 174, Realizable, 0, 0.000, 0.028, 0.047, 0.259, 0
syft_1, 175, Unrealizable, 0, 0.000, 0.042, 0.065, 0.256, 35
syft_1, 176, Unrealizable, 0, 0.000, 0.073, 0.476, 0.270, 132
syft_1, 177, Unrealizable, 0, 0.000, 0.072, 0.103, 0.256, 35
syft_1, 178, Unrealizable, 0, 0.000, 0.042, 0.065, 0.256, 35
syft_1, 179, Realizable, 0, 0.000, 0.027, 0.038, 0.257, 0
syft_1, 180, Unrealizable, 0, 0.000, 0.072, 0.104, 0.256, 36
syft_1, 181, Unrealizable, 0, 0.000, 0.055, 3.154, 0.347, 261
syft_1, 182, Realizable, 0, 0.000, 0.021, 0.031, 0.256, 0
syft_1, 183, Realizable, 0, 0.000, 0.024, 0.042, 0.259, 0
syft_1, 184, Realizable, 0, 0.000, 0.020, 0.028, 0.256, 0
syft_1, 185, Realizable, 0, 0.000, 0.023, 0.032, 0.256, 0
syft_1, 186, Realizable, 0, 0.000, 0.017, 0.024, 0.256, 0
syft_1, 187, Realizable, 0, 0.000, 0.023, 0.035, 0.257, 0
syft_1, 188, Realizable, 0, 0.000, 0.020, 0.029, 0.256, 0
syft_1, 189, Realizable, 0, 0.000, 0.022, 0.032, 0.256, 0
syft_1, 190, Unrealizable, 0, 0.000, 0.031, 0.093, 0.256, 67
syft_1, 191, Realizable, 0, 0.000, 0.022, 0.038, 0.259, 0
syft_1, 192, Unrealizable, 0, 0.000, 0.050, 0.078, 0.256, 35
syft_1, 193, Realizable, 0, 0.000, 0.022, 0.033, 0.256, 0
syft_1, 194, Unrealizable, 0, 0.000, 0.050, 0.161, 0.261, 67
syft_1, 195, Unrealizable, 0, 0.000, 0.056, 0.451, 0.270, 132
syft_1, 196, Realizable, 0, 0.000, 0.020, 0.030, 0.257, 0
syft_1, 197, Realizable, 0, 0.000, 0.020, 0.028, 0.256, 0
syft_1, 198, Realizable, 0, 0.000, 0.021, 0.030, 0.256, 0
syft_1, 199, Realizable, 0, 0.000, 0.024, 0.042, 0.259, 0
syft_1, 200, Realizable, 0, 0.000, 0.022, 0.032, 0.256, 0
syft_2, 001, Unrealizable, 0, 0.000, 0.082, 137.590, 2.440, 2067
syft_2, 002, Realizable, 0, 0.000, 0.027, 0.038, 0.256, 0
syft_2, 003, Unrealizable, 0, 0.000, 0.084, 0.193, 0.275, 28
syft_2, 004, Unrealizable, 0, 0.000, 0.073, 26.947, 0.719, 1027
syft_2, 005, Unrealizable, 0, 0.000, 0.074, 162.786, 2.902, 2051
syft_2, 006, Unrealizable, 0, 0.000, 0.080, 0.547, 0.285, 22
syft_2, 007, Realizable, 0, 0.000, 0.028, 0.040, 0.257, 0
syft_2, 008, Unrealizable, 0, 0.000, 0.073, 0.341, 0.277, 102
syft_2, 009, Unrealizable, 0, 0.000, 0.071, 1.070, 0.288, 259
syft_2, 010, Unrealizable, 0, 0.000, 0.047, 274.922, 3.578, 2051
syft_2, 011, Unrealizable, 0, 0.000, 0.077, 0.425, 0.282, 10
syft_2, 012, Unrealizable, 0, 0.000, 0.073, 0.113, 0.256, 67
syft_2, 013, Unrealizable, 0, 0.000, 0.078, 2.615, 0.354, 137
syft_2, 014, Unrealizable, 0, 0.000, 0.072, 0.087, 0.256, 35
syft_2, 015, Unrealizable, 0, 0.000, 0.078, 0.283, 0.270, 22
syft_2, 016, Unrealizable, 0, 0.000, 0.048, 154.383, 3.020, 2051
syft_2, 017, Unrealizable, 0, 0.000, 0.075, 0.583, 0.279, 259
syft_2, 018, Unrealizable, 0, 0.000, 0.045, 0.141, 0.258, 99
syft_2, 019, Unrealizable, 0, 0.000, 0.075, 277.723, 4.654, 2051
syft_2, 020, Unrealizable, 0, 0.000, 0.049, 155.729, 2.825, 2051
syft_2, 021, Unrealizable, 0, 0.000, 0.073, 0.141, 0.258, 68
syft_2, 022, Realizable, 0, 0.000, 0.027, 0.043, 0.258, 0
syft_2, 023, Realizable, 0, 0.000, 0.028, 0.040, 0.257, 0
syft_2, 024, Unrealizable, 0, 0.000, 0.045, 0.115, 0.256, 67
syft_2, 025, Unrealizable, 0, 0.000, 0.075, 196.483, 2.687, 2051
syft_2, 026, Unrealizable, 0, 0.000, 0.075, 0.233, 0.273, 67
syft_2, 027, Realizable, 0, 0.000, 0.023, 0.033, 0.256, 0
syft_2, 028, Unrealizable, 0, 0.000, 0.074, 1.613, 0.298, 259
syft_2, 029, Unrealizable, 0, 0.000, 0.075, 43.567, 1.397, 1028
syft_2, 030, Unrealizable, 0, 0.000, 0.075, 2.594, 0.315, 264
syft_2, 031, Unrealizable, 0, 0.000, 0.049, 141.977, 2.506, 2051
syft_2, 032, Realizable, 0, 0.000, 0.029, 0.050, 0.260, 0
syft_2, 033, Realizable, 0, 0.000, 0.028, 0.043, 0.258, 0
syft_2, 034, Unrealizable, 0, 0.000, 0.045, 0.074, 0.256, 51
syft_2, 035, Realizable, 0, 0.000, 0.027, 0.039, 0.257, 0
syft_2, 036, Unrealizable, 0, 0.000, 0.074, 0.390, 0.277, 103
syft_2, 037, Unrealizable, 0, 0.000, 0.078, 0.478, 0.283, 17
syft_2, 038, Unrealizable, 0, 0.000, 0.077, 2.130, 0.324, 269
syft_2, 039, Realizable, 0, 0.000, 0.028, 0.043, 0.258, 0
syft_2, 040, Realizable, 0, 0.000, 0.028, 0.055, 0.261, 0
syft_2, 041, Unrealizable, 0, 0.000, 0.070, 0.322, 0.266, 259
syft_2, 042, Unrealizable, 0, 0.000, 0.079, 0.582, 0.297, 10
syft_2, 043, Unrealizable, 0, 0.000, 0.074, 0.481, 0.284, 88
