Folder, Filename, Result, ExitCode, Time, Memory, subAfSz
syft_2, 006, Stopped, 0, 0.00, 0.05, 2
syft_2, 007, Realizable, 0, 0.00, 0.04, 2
syft_2, 008, Stopped, 0, 0.00, 0.04, 2
syft_2, 009, Stopped, 0, 0.00, 0.04, 2
syft_2, 010, Stopped, 0, 0.00, 0.04, 2
syft_2, 011, Stopped, 0, 0.00, 0.04, 2
syft_2, 012, Stopped, 0, 0.00, 0.04, 2
syft_2, 013, Stopped, 0, 0.00, 0.04, 2
syft_2, 014, Stopped, 0, 0.00, 0.04, 2
syft_2, 015, Stopped, 0, 0.00, 0.05, 2
syft_2, 016, Stopped, 0, 0.00, 0.04, 2
syft_2, 017, Stopped, 0, 0.00, 0.05, 6
syft_2, 018, Stopped, 0, 0.00, 0.04, 2
syft_2, 019, Stopped, 0, 0.00, 0.04, 2
syft_2, 020, Stopped, 0, 0.00, 0.04, 2
syft_2, 021, Stopped, 0, 0.00, 0.04, 2
syft_2, 022, Realizable, 0, 0.00, 0.04, 2
syft_2, 023, Realizable, 0, 0.00, 0.04, 2
syft_2, 024, Stopped, 0, 0.00, 0.04, 2
syft_2, 025, Stopped, 0, 0.00, 0.04, 2
syft_2, 026, Stopped, 0, 0.00, 0.05, 4
syft_2, 027, Realizable, 0, 0.00, 0.04, 2
syft_2, 028, Stopped, 0, 0.00, 0.04, 2
syft_2, 029, Stopped, 0, 0.00, 0.04, 2
syft_2, 030, Stopped, 0, 0.00, 0.05, 6
syft_2, 031, Stopped, 0, 0.00, 0.04, 2
syft_2, 032, Realizable, 0, 0.00, 0.04, 2
syft_2, 033, Realizable, 0, 0.00, 0.04, 2
syft_2, 034, Stopped, 0, 0.00, 0.04, 2
syft_2, 035, Realizable, 0, 0.00, 0.04, 2
syft_2, 036, Stopped, 0, 0.00, 0.04, 2
syft_2, 037, Stopped, 0, 0.00, 0.05, 6
syft_2, 038, Stopped, 0, 0.00, 0.04, 2
syft_2, 039, Realizable, 0, 0.00, 0.04, 2
syft_2, 040, Realizable, 0, 0.00, 0.04, 2
syft_2, 041, Stopped, 0, 0.00, 0.04, 2
syft_2, 042, Stopped, 0, 0.00, 0.04, 2
syft_2, 043, Stopped, 0, 0.00, 0.04, 2
syft_2, 044, Stopped, 0, 0.00, 0.04, 2
syft_2, 045, Stopped, 0, 0.00, 0.04, 2
syft_2, 046, Stopped, 0, 0.00, 0.04, 2
syft_2, 047, Stopped, 0, 0.00, 0.04, 2
syft_2, 048, Stopped, 0, 0.00, 0.04, 2
syft_2, 049, Stopped, 0, 0.00, 0.05, 2
syft_2, 050, Stopped, 0, 0.00, 0.04, 2
syft_2, 051, Stopped, 0, 0.00, 0.04, 2
syft_2, 052, Stopped, 0, 0.00, 0.05, 2
syft_2, 053, Stopped, 0, 0.00, 0.04, 3
syft_2, 054, Realizable, 0, 0.00, 0.04, 2
syft_2, 055, Realizable, 0, 0.00, 0.04, 2
syft_2, 056, Stopped, 0, 0.00, 0.04, 2
syft_2, 057, Stopped, 0, 0.00, 0.04, 2
syft_2, 058, Stopped, 0, 0.00, 0.04, 2
syft_2, 059, Stopped, 0, 0.00, 0.05, 6
syft_2, 060, Stopped, 0, 0.00, 0.05, 2
syft_2, 061, Realizable, 0, 0.00, 0.04, 2
syft_2, 062, Realizable, 0, 0.00, 0.04, 2
syft_2, 063, Stopped, 0, 0.00, 0.04, 2
